caseid,recid,age_group_reach_CA,age_group,sex,marital_status,num_child,have_child,province,immstat,harassed,smoke_status,drink_status,stress_level,health_level,living_standard,job_satisfaction,discrimination,health_awareness,eat_habits,social_class,income,Gender,stress,health
2667,2667,1,1,1,6,0,2,35,2,1,3,5,1,7,8,3,6,6,4,2,1,male,Not at all stressful,level 7
2668,2668,6,6,2,4,0,2,35,2,2,3,6,3,10,10,1,6,6,2,3,2,female,A bit stressful,Completely satisfied
2670,2670,4,4,1,1,0,2,35,1,2,3,5,3,8,8,1,6,6,3,4,4,male,A bit stressful,level 8
2683,2683,5,4,1,1,1,1,35,1,2,3,3,3,8,8,2,6,6,3,4,2,male,A bit stressful,level 8
2685,2685,1,3,2,1,1,1,48,2,2,3,4,5,5,7,4,6,6,3,3,5,female,Extremely stressful,level 5
2686,2686,1,4,1,1,0,2,35,1,2,3,5,3,10,10,1,6,1,4,3,1,male,A bit stressful,Completely satisfied
2694,2694,3,6,2,6,0,2,35,1,1,3,7,1,0,5,1,1,6,5,3,3,female,Not at all stressful,Not at all satisfied
2701,2701,2,5,2,3,0,2,35,1,2,3,5,4,1,8,1,6,6,4,3,6,female,Quite A bit stressful,level 1
2713,2713,4,5,2,6,0,2,35,1,2,3,5,4,9,8,1,6,6,3,3,4,female,Quite A bit stressful,level 9
2719,2719,3,3,1,1,3,1,35,1,2,3,5,5,8,7,2,2,1,3,4,3,male,Extremely stressful,level 8
2726,2726,1,4,2,1,2,1,13,1,2,3,1,2,9,8,1,6,6,2,3,3,female,Not very stressful,level 9
2740,2740,2,3,1,1,2,1,59,1,2,3,4,4,7,8,4,6,6,3,2,4,male,Quite A bit stressful,level 7
2754,2754,2,2,2,5,0,2,35,1,1,3,3,4,9,8,3,2,6,4,3,2,female,Quite A bit stressful,level 9
2787,2787,3,5,1,1,1,1,35,2,2,1,7,5,2,7,1,6,6,5,4,1,male,Extremely stressful,level 2
2805,2805,3,2,2,1,2,1,35,1,2,2,5,3,9,4,2,6,6,2,3,1,female,A bit stressful,level 9
2823,2823,1,5,1,3,0,2,48,1,2,3,4,4,8,8,1,6,6,3,3,5,male,Quite A bit stressful,level 8
2838,2838,3,3,2,1,2,1,59,1,2,3,7,3,0,8,2,1,6,3,3,3,female,A bit stressful,Not at all satisfied
2841,2841,4,6,1,6,0,2,11,1,2,3,2,3,9,10,3,6,6,3,3,6,male,A bit stressful,level 9
2851,2851,4,3,2,1,1,1,24,2,2,3,5,3,8,5,1,6,1,1,3,2,female,A bit stressful,level 8
2871,2871,4,5,1,1,1,1,35,1,2,3,2,3,7,6,2,6,6,3,3,1,male,A bit stressful,level 7
2883,2883,5,4,2,1,0,2,13,1,2,3,2,1,10,9,2,6,6,1,3,1,female,Not at all stressful,Completely satisfied
2900,2900,4,3,2,1,2,1,46,1,2,3,7,4,7,6,2,6,6,3,3,2,female,Quite A bit stressful,level 7
2902,2902,4,3,1,1,2,1,35,1,2,3,7,2,7,7,2,6,6,4,4,2,male,Not very stressful,level 7
2924,2924,4,5,2,6,0,2,24,1,2,3,5,3,7,5,2,6,1,2,3,2,female,A bit stressful,level 7
2943,2943,4,3,2,6,1,1,24,1,2,3,3,3,7,7,2,6,6,3,3,4,female,A bit stressful,level 7
2955,2955,4,5,1,1,1,1,59,1,2,3,6,3,8,8,2,6,6,2,3,5,male,A bit stressful,level 8
2968,2968,3,3,1,5,1,1,35,1,1,3,1,3,10,10,2,6,6,1,3,4,male,A bit stressful,Completely satisfied
2970,2970,5,4,2,1,2,1,59,1,2,3,7,2,2,10,3,6,6,3,3,1,female,Not very stressful,level 2
2992,2992,4,5,2,5,2,1,35,1,2,3,6,3,6,5,2,6,6,3,3,2,female,A bit stressful,level 6
2993,2993,1,4,1,1,0,2,59,1,2,1,5,1,8,10,1,6,6,2,2,3,male,Not at all stressful,level 8
2996,2996,1,3,1,6,2,1,24,1,2,3,6,3,5,8,1,6,6,4,2,5,male,A bit stressful,level 5
3001,3001,1,3,1,1,0,2,35,1,2,3,4,3,7,7,2,6,6,4,2,4,male,A bit stressful,level 7
3007,3007,1,3,1,2,0,2,35,1,1,3,3,2,4,8,2,6,6,3,3,3,male,Not very stressful,level 4
3036,3036,5,3,2,1,0,2,12,1,1,3,5,2,8,7,2,6,6,3,3,1,female,Not very stressful,level 8
3061,3061,1,3,2,1,1,1,59,1,1,3,4,2,8,2,2,6,3,2,2,3,female,Not very stressful,level 8
3072,3072,3,4,1,6,0,2,47,1,2,3,5,3,6,7,2,6,6,3,4,5,male,A bit stressful,level 6
3084,3084,3,2,2,1,2,1,24,1,2,3,7,3,9,6,2,6,6,1,3,2,female,A bit stressful,level 9
3086,3086,3,6,1,2,0,2,35,1,2,3,2,3,8,6,2,6,6,2,4,3,male,A bit stressful,level 8
3087,3087,2,3,1,1,2,1,35,1,2,3,5,4,7,5,2,6,6,2,4,2,male,Quite A bit stressful,level 7
3107,3107,4,3,2,1,1,1,46,1,2,3,6,3,9,7,2,6,6,3,3,6,female,A bit stressful,level 9
3111,3111,4,5,2,1,0,2,24,1,1,3,5,3,9,9,1,6,6,2,4,2,female,A bit stressful,level 9
3115,3115,2,2,1,6,0,2,59,1,2,3,5,3,7,8,2,6,6,3,3,3,male,A bit stressful,level 7
3135,3135,2,3,2,6,0,2,35,1,2,3,6,2,9,9,2,6,6,3,4,2,female,Not very stressful,level 9
3137,3137,5,4,2,1,1,1,46,1,2,3,7,3,5,5,2,6,6,3,3,1,female,A bit stressful,level 5
3143,3143,2,2,1,1,1,1,35,1,2,1,6,3,2,2,4,6,6,4,4,2,male,A bit stressful,level 2
3149,3149,3,2,2,2,0,2,13,1,1,3,5,3,3,7,3,6,6,4,3,1,female,A bit stressful,level 3
3153,3153,1,1,1,6,0,2,24,1,1,3,7,3,8,8,2,6,6,4,4,1,male,A bit stressful,level 8
3160,3160,3,3,2,6,0,2,48,1,2,3,6,3,8,9,2,6,6,2,4,5,female,A bit stressful,level 8
3166,3166,4,4,1,1,0,2,24,1,2,2,5,5,7,2,5,3,6,3,4,3,male,Extremely stressful,level 7
3169,3169,2,1,2,6,0,2,47,2,2,3,7,4,8,4,4,6,6,3,3,1,female,Quite A bit stressful,level 8
3185,3185,3,3,2,6,0,2,59,1,2,3,3,2,9,8,1,6,6,1,4,2,female,Not very stressful,level 9
3212,3212,3,3,1,1,3,1,59,1,2,3,6,4,7,6,2,6,6,2,4,4,male,Quite A bit stressful,level 7
3223,3223,5,5,2,5,0,2,48,1,2,3,7,4,6,6,1,6,6,3,2,3,female,Quite A bit stressful,level 6
3238,3238,5,3,2,1,3,1,46,1,2,3,7,2,9,9,2,6,6,1,3,2,female,Not very stressful,level 9
3265,3265,3,2,2,6,0,2,47,2,2,3,6,4,7,4,2,2,6,1,3,2,female,Quite A bit stressful,level 7
3267,3267,3,4,2,6,0,2,35,1,2,3,6,3,0,8,1,2,6,4,4,3,female,A bit stressful,Not at all satisfied
3271,3271,1,4,2,2,3,1,35,1,2,3,5,3,7,8,2,6,6,3,3,4,female,A bit stressful,level 7
3272,3272,4,4,1,1,2,1,35,1,2,3,7,3,0,5,3,6,6,2,4,2,male,A bit stressful,Not at all satisfied
3330,3330,3,4,2,2,2,1,24,1,2,3,3,4,8,8,2,6,6,1,2,4,female,Quite A bit stressful,level 8
3345,3345,2,4,2,5,2,1,35,1,2,3,5,4,8,7,2,6,6,2,3,3,female,Quite A bit stressful,level 8
3358,3358,3,2,1,1,0,2,48,1,1,3,4,2,10,8,2,2,6,2,3,3,male,Not very stressful,Completely satisfied
3373,3373,2,2,2,1,0,2,35,1,2,3,7,3,9,10,2,6,6,3,2,3,female,A bit stressful,level 9
3379,3379,3,4,1,1,2,1,35,1,2,3,7,2,7,7,2,6,6,3,4,3,male,Not very stressful,level 7
3382,3382,2,5,1,1,0,2,35,1,2,3,5,2,7,8,1,6,6,2,3,4,male,Not very stressful,level 7
3383,3383,2,4,1,1,2,1,35,1,2,3,4,3,7,6,2,6,6,3,3,4,male,A bit stressful,level 7
3413,3413,1,2,2,1,0,2,48,1,2,3,7,2,8,8,1,2,6,4,3,4,female,Not very stressful,level 8
3418,3418,4,3,1,1,0,2,35,1,2,3,7,2,8,6,4,6,1,3,4,4,male,Not very stressful,level 8
3424,3424,3,3,2,1,2,1,35,2,2,3,4,3,7,7,1,6,6,3,3,4,female,A bit stressful,level 7
3429,3429,4,4,2,6,0,2,35,1,2,3,4,3,7,8,1,2,6,2,4,3,female,A bit stressful,level 7
3440,3440,1,3,1,1,2,1,35,1,2,3,7,2,7,7,2,6,6,4,3,4,male,Not very stressful,level 7
3464,3464,3,3,1,6,0,2,46,1,2,3,7,2,7,7,2,6,6,3,3,2,male,Not very stressful,level 7
3469,3469,2,4,2,1,0,2,59,1,2,3,3,3,7,10,1,6,6,2,3,1,female,A bit stressful,level 7
3506,3506,1,3,2,1,2,1,35,1,2,3,4,4,9,7,1,6,1,2,4,3,female,Quite A bit stressful,level 9
3514,3514,1,5,1,5,0,2,48,2,1,3,7,3,5,5,2,6,6,4,5,2,male,A bit stressful,level 5
3517,3517,2,2,1,1,0,2,47,1,2,3,7,2,9,5,1,6,6,1,3,2,male,Not very stressful,level 9
3522,3522,3,6,1,5,0,2,35,1,2,3,1,3,8,7,2,3,6,2,4,4,male,A bit stressful,level 8
3525,3525,4,4,1,1,2,1,48,1,2,3,7,3,8,8,1,6,6,1,3,6,male,A bit stressful,level 8
3534,3534,5,4,1,1,0,2,35,1,2,3,5,3,6,7,1,6,6,3,3,3,male,A bit stressful,level 6
3538,3538,4,5,2,1,0,2,35,1,2,3,6,1,8,8,1,6,6,3,3,2,female,Not at all stressful,level 8
3575,3575,3,1,2,1,0,2,47,2,2,3,7,3,10,10,1,6,6,3,3,1,female,A bit stressful,Completely satisfied
3578,3578,3,4,2,5,1,1,59,1,2,3,7,3,6,5,4,6,1,1,4,3,female,A bit stressful,level 6
3588,3588,4,3,1,1,0,2,24,1,1,2,6,3,9,3,3,1,6,3,2,1,male,A bit stressful,level 9
3613,3613,3,5,1,1,0,2,48,1,2,3,4,3,8,8,1,6,6,2,3,3,male,A bit stressful,level 8
3614,3614,3,4,2,1,2,1,35,1,2,3,7,3,10,10,1,6,1,1,1,4,female,A bit stressful,Completely satisfied
3644,3644,3,2,1,6,0,2,24,2,2,3,4,4,8,10,1,6,6,2,3,1,male,Quite A bit stressful,level 8
3650,3650,4,3,2,1,3,1,24,2,2,3,4,3,8,6,1,6,6,3,3,2,female,A bit stressful,level 8
3674,3674,4,3,1,6,0,2,35,1,2,3,7,3,4,5,3,6,6,3,4,2,male,A bit stressful,level 4
3675,3675,3,3,1,1,1,1,35,2,2,3,4,2,6,8,2,6,6,4,3,4,male,Not very stressful,level 6
3686,3686,2,4,1,1,1,1,10,1,2,3,3,1,8,10,2,6,6,3,2,6,male,Not at all stressful,level 8
3690,3690,4,4,2,1,0,2,35,1,2,3,7,3,8,8,3,6,6,2,3,2,female,A bit stressful,level 8
3711,3711,2,3,2,1,2,1,24,1,2,3,5,4,6,8,3,6,6,3,2,2,female,Quite A bit stressful,level 6
3716,3716,2,2,1,1,1,1,46,2,2,2,7,2,8,9,2,6,6,3,3,3,male,Not very stressful,level 8
3741,3741,2,1,2,6,0,2,35,2,2,3,5,3,8,9,2,6,2,3,2,1,female,A bit stressful,level 8
3744,3744,1,5,2,1,0,2,59,2,2,3,4,3,8,7,2,6,6,4,3,5,female,A bit stressful,level 8
3763,3763,3,5,1,1,2,1,35,1,2,3,3,2,9,8,2,6,6,2,2,4,male,Not very stressful,level 9
3780,3780,1,4,1,1,2,1,35,1,2,3,3,3,8,10,1,6,6,2,1,4,male,A bit stressful,level 8
3781,3781,5,4,1,1,1,1,35,1,2,3,7,3,6,8,2,6,6,3,3,4,male,A bit stressful,level 6
3790,3790,2,4,2,1,0,2,13,1,2,3,2,1,10,10,1,6,6,3,3,3,female,Not at all stressful,Completely satisfied
3791,3791,4,5,1,1,0,2,47,1,2,3,5,3,7,7,2,6,6,3,3,6,male,A bit stressful,level 7
3800,3800,1,4,2,1,2,1,35,1,2,2,3,3,6,7,1,6,6,3,3,6,female,A bit stressful,level 6
3807,3807,2,4,2,1,2,1,59,1,2,3,7,3,8,7,2,6,6,1,2,2,female,A bit stressful,level 8
3812,3812,1,4,1,1,0,2,48,2,2,1,4,3,8,5,2,6,6,2,3,2,male,A bit stressful,level 8
3814,3814,1,4,2,1,1,1,35,1,2,3,7,3,5,5,2,6,6,3,3,2,female,A bit stressful,level 5
3819,3819,4,3,2,5,2,1,48,1,2,3,7,3,7,5,2,6,2,2,4,2,female,A bit stressful,level 7
3831,3831,3,4,2,1,2,1,59,1,2,3,6,3,8,6,1,6,3,3,3,4,female,A bit stressful,level 8
3837,3837,5,5,1,1,1,1,35,1,2,3,3,3,9,10,1,6,6,3,3,6,male,A bit stressful,level 9
3850,3850,3,3,1,1,1,1,48,1,2,2,4,3,6,2,2,2,6,2,2,6,male,A bit stressful,level 6
3853,3853,3,4,1,2,0,2,12,1,2,3,6,3,8,8,1,6,6,4,3,4,male,A bit stressful,level 8
3893,3893,4,5,2,5,0,2,35,1,2,3,5,4,6,5,2,6,6,3,3,5,female,Quite A bit stressful,level 6
3919,3919,4,4,1,1,2,1,59,1,2,3,3,2,7,7,2,6,6,2,3,3,male,Not very stressful,level 7
3951,3951,4,4,2,1,0,2,35,1,2,3,5,1,8,10,1,6,6,4,3,3,female,Not at all stressful,level 8
3955,3955,5,4,1,1,3,1,35,1,2,3,7,5,4,5,4,6,6,5,2,4,male,Extremely stressful,level 4
3992,3992,3,2,2,6,0,2,10,2,2,3,5,2,8,9,2,6,6,3,3,1,female,Not very stressful,level 8
4011,4011,2,1,1,6,0,2,35,1,2,2,5,3,7,10,2,6,6,4,3,2,male,A bit stressful,level 7
4012,4012,4,5,1,1,1,1,59,1,2,3,5,2,8,8,2,6,6,2,3,2,male,Not very stressful,level 8
4024,4024,3,4,2,6,0,2,35,1,1,3,5,2,8,8,2,2,6,2,3,2,female,Not very stressful,level 8
4029,4029,3,5,2,1,0,2,24,1,2,3,7,3,5,0,2,6,6,2,4,2,female,A bit stressful,level 5
4030,4030,3,4,2,1,2,1,59,1,2,3,4,3,10,9,1,6,6,2,3,2,female,A bit stressful,Completely satisfied
4032,4032,2,1,2,6,0,2,46,1,2,2,3,2,7,7,2,6,6,3,4,1,female,Not very stressful,level 7
4045,4045,4,4,1,1,2,1,48,1,2,3,7,1,9,9,1,6,6,2,3,1,male,Not at all stressful,level 9
4084,4084,4,4,1,4,0,2,59,1,2,3,3,3,6,2,1,6,6,3,3,2,male,A bit stressful,level 6
4098,4098,2,4,1,1,2,1,47,1,2,3,5,3,10,3,2,6,6,3,3,3,male,A bit stressful,Completely satisfied
4122,4122,1,5,2,1,2,1,35,1,1,3,6,5,5,2,2,2,6,3,3,4,female,Extremely stressful,level 5
4126,4126,2,6,2,3,0,2,59,1,2,3,3,3,7,8,2,6,6,1,3,3,female,A bit stressful,level 7
4148,4148,3,3,1,1,2,1,48,1,2,3,6,3,8,0,3,6,1,2,5,3,male,A bit stressful,level 8
4160,4160,4,3,1,2,2,1,24,1,2,3,5,1,8,8,2,6,1,2,3,1,male,Not at all stressful,level 8
4185,4185,3,3,1,1,2,1,24,1,2,3,3,3,7,8,2,6,6,3,3,6,male,A bit stressful,level 7
4203,4203,1,4,1,4,0,2,59,2,2,3,2,2,5,8,2,6,6,4,3,4,male,Not very stressful,level 5
4206,4206,4,3,2,1,2,1,46,1,2,3,7,3,10,9,1,6,6,1,3,2,female,A bit stressful,Completely satisfied
4211,4211,2,4,2,2,2,1,35,1,2,3,7,4,8,8,1,6,6,2,3,2,female,Quite A bit stressful,level 8
4214,4214,1,4,2,1,1,1,24,2,2,3,1,3,6,6,1,6,6,2,4,3,female,A bit stressful,level 6
4230,4230,1,4,1,1,0,2,46,1,2,3,2,3,4,6,2,6,6,4,3,4,male,A bit stressful,level 4
4231,4231,3,4,2,1,1,1,24,1,2,3,7,3,8,7,2,6,6,3,3,1,female,A bit stressful,level 8
4257,4257,5,6,1,1,0,2,35,1,2,3,5,3,7,7,2,6,6,2,3,2,male,A bit stressful,level 7
4268,4268,4,3,1,1,2,1,35,1,2,2,4,3,6,7,2,6,6,3,3,2,male,A bit stressful,level 6
4275,4275,3,3,1,1,2,1,47,1,2,1,4,3,8,8,2,6,6,2,3,4,male,A bit stressful,level 8
4333,4333,3,5,2,1,2,1,35,1,2,3,7,3,7,6,2,6,6,3,3,3,female,A bit stressful,level 7
4334,4334,1,3,2,1,0,2,35,1,1,3,3,2,8,8,1,2,1,3,3,4,female,Not very stressful,level 8
4337,4337,2,4,1,5,0,2,35,1,2,3,4,2,8,7,2,6,6,3,3,1,male,Not very stressful,level 8
4396,4396,1,4,2,5,1,1,11,1,2,3,5,2,8,7,3,6,6,2,4,3,female,Not very stressful,level 8
4403,4403,3,5,2,4,2,1,35,1,1,3,5,3,5,6,2,3,1,4,3,5,female,A bit stressful,level 5
4410,4410,3,3,2,1,1,1,35,1,2,3,7,3,8,7,2,1,6,3,3,2,female,A bit stressful,level 8
4413,4413,1,4,2,2,0,2,35,1,2,3,2,4,4,4,3,6,6,3,4,3,female,Quite A bit stressful,level 4
4420,4420,3,4,2,4,1,1,35,1,2,2,6,2,8,8,2,6,6,3,3,1,female,Not very stressful,level 8
4421,4421,4,4,1,1,0,2,59,1,2,3,2,2,8,9,1,6,1,2,2,6,male,Not very stressful,level 8
4424,4424,4,3,1,1,2,1,48,1,2,3,7,3,7,7,1,6,6,3,2,5,male,A bit stressful,level 7
4436,4436,5,5,2,5,0,2,59,1,2,2,7,3,8,1,4,6,6,1,2,2,female,A bit stressful,level 8
4444,4444,2,5,1,1,0,2,35,1,2,3,5,2,7,8,2,6,6,3,3,5,male,Not very stressful,level 7
4459,4459,4,3,1,1,1,1,35,1,2,2,5,2,8,8,2,6,6,3,4,1,male,Not very stressful,level 8
4471,4471,3,3,1,1,2,1,24,1,2,3,5,3,8,8,2,6,6,1,2,6,male,A bit stressful,level 8
4472,4472,3,3,1,1,0,2,10,2,2,3,4,1,10,10,1,6,6,5,1,3,male,Not at all stressful,Completely satisfied
4491,4491,3,2,1,1,1,1,47,1,2,3,5,3,10,5,1,6,6,1,3,2,male,A bit stressful,Completely satisfied
4511,4511,3,2,2,1,0,2,47,1,1,3,7,2,7,7,2,1,6,3,3,2,female,Not very stressful,level 7
4512,4512,4,4,1,1,1,1,46,1,2,3,4,1,8,8,2,6,6,2,3,4,male,Not at all stressful,level 8
4518,4518,2,5,1,6,0,2,24,1,2,1,4,3,6,7,2,6,6,4,1,6,male,A bit stressful,level 6
4532,4532,4,4,2,1,1,1,35,1,2,3,7,2,6,8,2,1,6,2,3,1,female,Not very stressful,level 6
4541,4541,5,5,2,1,0,2,59,1,1,3,2,2,9,8,2,6,6,3,3,3,female,Not very stressful,level 9
4550,4550,1,5,2,1,0,2,46,2,2,3,3,2,8,8,1,6,6,2,3,3,female,Not very stressful,level 8
4552,4552,5,3,1,1,0,2,35,2,2,3,5,3,8,7,2,6,6,3,3,5,male,A bit stressful,level 8
4573,4573,4,3,2,1,0,2,24,1,2,3,4,3,8,8,1,1,6,2,3,3,female,A bit stressful,level 8
4578,4578,3,2,2,1,2,1,46,1,2,3,7,3,10,7,2,6,6,2,3,2,female,A bit stressful,Completely satisfied
4598,4598,2,2,1,6,0,2,24,1,2,1,5,3,10,7,1,6,6,1,3,2,male,A bit stressful,Completely satisfied
4601,4601,4,6,2,1,1,1,24,1,2,3,5,3,8,9,2,1,6,3,3,3,female,A bit stressful,level 8
4605,4605,4,3,2,1,1,1,12,2,2,3,5,2,6,5,2,6,6,2,3,1,female,Not very stressful,level 6
4608,4608,4,3,2,1,3,1,46,1,2,3,5,2,0,6,2,6,6,5,3,1,female,Not very stressful,Not at all satisfied
4615,4615,4,3,2,6,0,2,35,1,2,3,5,2,9,9,2,6,6,2,3,6,female,Not very stressful,level 9
4627,4627,1,5,1,1,0,2,35,1,2,3,3,3,8,8,1,6,6,2,3,4,male,A bit stressful,level 8
4649,4649,5,5,1,1,0,2,59,1,2,3,4,5,8,9,2,6,1,3,3,6,male,Extremely stressful,level 8
4659,4659,3,2,2,1,1,1,24,1,2,3,4,3,9,10,2,6,6,4,2,1,female,A bit stressful,level 9
4683,4683,1,3,2,1,2,1,35,1,2,3,4,1,10,8,1,6,6,3,3,3,female,Not at all stressful,Completely satisfied
4689,4689,4,5,2,3,1,1,59,1,2,3,2,3,5,1,2,2,6,4,4,2,female,A bit stressful,level 5
4704,4704,3,5,2,1,0,2,24,1,1,3,3,3,8,9,2,2,2,3,2,1,female,A bit stressful,level 8
4706,4706,1,2,2,2,0,2,24,2,2,3,5,2,8,10,2,6,6,3,3,2,female,Not very stressful,level 8
4729,4729,5,5,1,1,2,1,35,1,2,3,7,2,9,9,1,6,6,2,4,3,male,Not very stressful,level 9
4733,4733,3,3,2,1,1,1,59,1,1,2,5,3,7,8,2,4,6,3,2,3,female,A bit stressful,level 7
4746,4746,2,1,1,6,0,2,24,2,2,3,4,3,8,7,2,6,6,1,3,1,male,A bit stressful,level 8
4793,4793,3,4,2,6,1,1,35,1,2,3,7,3,8,8,2,6,6,3,2,2,female,A bit stressful,level 8
4803,4803,1,3,2,5,2,1,10,1,2,3,4,3,6,6,2,2,6,3,3,5,female,A bit stressful,level 6
4804,4804,2,6,1,5,0,2,48,1,2,1,5,1,9,8,1,6,6,2,2,4,male,Not at all stressful,level 9
4807,4807,4,4,1,4,0,2,35,1,2,3,5,3,8,10,1,6,6,3,2,3,male,A bit stressful,level 8
4829,4829,1,3,2,6,2,1,59,1,2,3,7,4,8,8,2,6,6,2,3,2,female,Quite A bit stressful,level 8
4830,4830,2,3,1,1,2,1,59,1,2,3,5,2,9,8,1,6,6,2,3,3,male,Not very stressful,level 9
4838,4838,4,2,1,1,2,1,35,1,2,3,5,3,7,8,2,6,6,3,3,5,male,A bit stressful,level 7
4839,4839,1,1,1,6,0,2,59,1,2,3,7,3,9,8,2,6,1,1,3,1,male,A bit stressful,level 9
4842,4842,3,4,1,1,0,2,59,1,2,3,4,3,8,9,2,6,6,3,3,2,male,A bit stressful,level 8
4858,4858,1,4,2,5,1,1,12,2,2,3,6,4,8,8,1,6,6,2,3,3,female,Quite A bit stressful,level 8
4866,4866,4,3,1,1,0,2,47,1,2,3,6,3,10,10,1,6,6,2,3,3,male,A bit stressful,Completely satisfied
4881,4881,2,3,2,6,0,2,59,1,2,3,5,3,8,8,2,6,3,2,3,3,female,A bit stressful,level 8
4889,4889,1,3,2,1,0,2,59,2,2,3,5,3,4,5,2,6,1,4,4,3,female,A bit stressful,level 4
4895,4895,4,2,2,1,1,1,48,1,2,3,7,4,8,8,2,6,6,2,3,1,female,Quite A bit stressful,level 8
4896,4896,3,5,2,1,0,2,35,1,2,1,4,2,8,8,2,6,6,4,3,2,female,Not very stressful,level 8
4909,4909,5,4,2,1,0,2,24,1,2,3,6,2,10,8,2,6,6,1,3,2,female,Not very stressful,Completely satisfied
4926,4926,2,5,1,1,0,2,59,1,2,3,2,3,9,9,2,6,6,3,3,5,male,A bit stressful,level 9
4943,4943,3,3,1,1,2,1,48,1,2,3,3,2,8,9,1,1,6,2,2,6,male,Not very stressful,level 8
4970,4970,1,5,2,5,0,2,48,2,2,3,4,3,8,10,1,6,2,5,3,5,female,A bit stressful,level 8
4995,4995,4,3,1,1,2,1,46,1,2,1,5,3,8,5,1,6,1,2,5,2,male,A bit stressful,level 8
5000,5000,1,4,2,2,0,2,48,1,2,3,2,3,8,9,1,6,6,2,3,6,female,A bit stressful,level 8
5001,5001,3,2,1,1,0,2,48,1,2,3,7,2,9,8,1,6,1,1,3,3,male,Not very stressful,level 9
5002,5002,6,5,2,1,0,2,35,1,1,1,1,4,7,7,2,2,6,4,3,2,female,Quite A bit stressful,level 7
5023,5023,2,1,2,6,2,1,59,1,2,3,7,2,10,10,1,6,6,2,3,1,female,Not very stressful,Completely satisfied
5048,5048,2,1,1,6,0,2,24,1,2,3,7,1,10,8,2,6,1,4,3,1,male,Not at all stressful,Completely satisfied
5052,5052,3,3,1,1,2,1,47,1,2,1,7,4,6,7,1,6,6,3,3,3,male,Quite A bit stressful,level 6
5054,5054,1,3,2,1,3,1,35,1,2,3,4,2,10,9,1,6,1,1,3,2,female,Not very stressful,Completely satisfied
5055,5055,3,3,2,1,2,1,35,1,2,3,6,4,5,8,2,6,6,4,3,3,female,Quite A bit stressful,level 5
5102,5102,1,6,2,2,0,2,59,1,2,3,5,1,10,10,1,6,6,2,3,2,female,Not at all stressful,Completely satisfied
5121,5121,3,5,2,1,2,1,35,1,2,3,7,3,10,10,1,6,6,2,4,2,female,A bit stressful,Completely satisfied
5131,5131,4,2,1,1,1,1,48,1,2,1,6,3,9,5,4,6,6,3,4,2,male,A bit stressful,level 9
5143,5143,3,4,2,4,1,1,35,1,2,3,6,2,9,9,2,6,6,1,3,6,female,Not very stressful,level 9
5144,5144,4,6,2,4,0,2,47,1,2,3,6,2,9,10,1,6,6,2,3,2,female,Not very stressful,level 9
5158,5158,4,4,1,1,2,1,59,1,2,3,3,5,6,6,2,6,6,2,3,5,male,Extremely stressful,level 6
5185,5185,3,4,1,2,1,1,48,1,2,3,6,2,8,5,2,6,6,2,5,6,male,Not very stressful,level 8
5212,5212,2,4,2,1,1,1,48,1,2,1,7,3,5,5,1,6,6,1,3,4,female,A bit stressful,level 5
5215,5215,3,6,1,1,0,2,12,1,2,3,2,3,8,8,1,6,6,3,2,5,male,A bit stressful,level 8
5237,5237,1,5,2,1,0,2,59,1,1,3,3,3,8,7,2,6,1,3,3,3,female,A bit stressful,level 8
5312,5312,1,4,2,5,0,2,47,1,1,1,6,2,10,10,1,6,6,3,3,5,female,Not very stressful,Completely satisfied
5314,5314,3,2,2,1,1,1,48,1,2,3,7,1,9,7,2,6,6,3,3,2,female,Not at all stressful,level 9
5318,5318,4,2,2,1,0,2,48,1,1,3,7,1,7,6,2,2,6,3,4,1,female,Not at all stressful,level 7
5319,5319,4,3,2,6,0,2,35,1,2,3,5,3,8,2,2,6,6,2,4,3,female,A bit stressful,level 8
5341,5341,4,3,1,4,2,1,35,1,2,3,3,4,5,5,1,6,6,3,4,1,male,Quite A bit stressful,level 5
5343,5343,1,5,2,6,0,2,35,1,2,3,1,3,8,8,1,6,6,2,2,5,female,A bit stressful,level 8
5368,5368,4,3,1,1,3,1,35,1,2,3,7,3,7,5,3,6,6,4,4,2,male,A bit stressful,level 7
5380,5380,1,5,2,6,0,2,24,1,2,3,5,2,8,8,2,6,6,3,4,3,female,Not very stressful,level 8
5396,5396,1,2,2,6,1,1,59,1,1,3,6,3,8,8,1,6,6,2,3,4,female,A bit stressful,level 8
5407,5407,3,5,2,4,0,2,35,1,2,3,3,3,9,7,1,6,6,2,3,2,female,A bit stressful,level 9
5435,5435,4,4,1,1,0,2,35,1,2,3,2,4,6,6,2,6,6,4,2,5,male,Quite A bit stressful,level 6
5448,5448,3,2,2,6,0,2,35,2,2,3,7,1,10,10,1,3,6,1,3,1,female,Not at all stressful,Completely satisfied
5458,5458,5,4,2,1,1,1,46,1,2,3,5,3,8,8,1,6,6,3,4,2,female,A bit stressful,level 8
5462,5462,3,5,2,1,1,1,59,1,2,3,6,1,9,9,2,6,6,4,3,1,female,Not at all stressful,level 9
5471,5471,2,2,2,1,1,1,35,1,2,3,6,3,7,6,3,6,6,2,4,2,female,A bit stressful,level 7
5474,5474,4,4,1,1,1,1,35,1,2,3,4,4,7,7,2,6,1,2,3,5,male,Quite A bit stressful,level 7
5486,5486,2,2,2,1,0,2,46,1,2,3,6,3,10,10,1,6,6,3,2,1,female,A bit stressful,Completely satisfied
